Incident,Reported,Occurred,Type,Location,Summary,Status
C.0007329,01/09/23 12:00 AM,09/23/23 - 8/31/20 - 01/25/21,Rape,Lafayette Hall,A student reported a sexual assault.,Closed/Referred to Title IX
2023-0026,01/06/23 08:16 PM,01/06/23 08:16 PM,Public Lewdness,35 West 4th Street,A Campus Safety Officer reported a public lewdness.,Open
2023-0018,01/05/23 05:17 PM,01/05/23 09:45 AM - 01/05/23 05:15 PM,Larceny,721 Broadway - exterior,A student reported a bike theft.,Open
2023-0017,01/05/23 04:57 PM,01/05/23 04:57 PM,Larceny,NYU Bookstore,A bookstore staff member reported an attempted theft.,Closed/Referred to NYPD
2023-0009,01/04/23 11:50 AM,01/03/23 05:00 PM - 01/04/23 09:00 AM,Larceny,King Juan Carlos Center,A staff member reported a missing package.,Open
2023-0005,01/03/23 02:05 PM,01/03/23 02:05 PM,Criminal Trespass,Bobst Library,A Campus Safety Officer reported an attempted criminal trespass.,Open
2023-0004,01/03/23 12:43 PM,01/03/23 09:50 AM,Harassment,Space Market - exterior,A student reported a harassment.,Open
VSU001,01/03/23 11:53 AM,01/02/23 09:24 PM,Larceny,Washington Square Park,The NYPD reported a theft.,Closed
2022-2793,12/28/22 01:06 AM,12/28/22 01:01 AM,Arson,Schwartz Plaza,A Campus Safety Officer reported an arson.,Closed
2022-2780,12/25/22 05:21 PM,12/25/22 05:21 PM,Criminal Trespass,Meyer Hall,A Campus Safety Officer reported a criminal trespass.,Closed
2022-2774,12/25/22 05:30 AM,12/25/22 05:30 AM,Weapons Law Violation,Third North Hall,A contractor reported an illegal weapon possession.,Open
2022-2770,12/23/22 11:15 PM,12/22/22 04:00 PM - 12/23/22 06:00 PM,Larceny,Palladium Hall,A student reported a scam/theft.,Open
2022-2766,12/22/22 04:55 PM,11/10/22 03:00 PM - 11/10/22 10:00 PM,Simple Assault,Kimmel Center,A contractor reported a simple assault.,Closed
03663-2022,12/22/22 10:36 PM,12/22/22 10:36 PM,Liquor Law Violation,Othmer Hall,A staff member reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2764,12/22/22 04:50 AM,12/22/22,Criminal Mischief,Kimmel Center - exterior,A contractor reported graffiti.,Open
2022-2762,12/21/22 04:35 PM,12/20/22 09:00 PM,Robbery,West 3rd Street between LaGuardia Place and Mercer Street,NYPD reported a robbery.,Closed/Referred to NYPD
2022-2760,12/21/22 02:55 PM,12/21/22 02:55 PM,Criminal Trespass,Vanderbilt Hall,A Campus Safety Officer reported a criminal trespass.,Open
03649-2022,12/20/22 12:30 PM,12/20/22 12:30 PM,Liquor Law Violation,Greenwich Hall,A staff member reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2755,12/20/22 09:54 PM,12/20/22 09:48 PM,Criminal Mischief,561 LaGuardia Place,A Campus Safety Officer reported graffiti.,Open
2022-2753,12/20/22 03:20 PM,12/20/22 03:20 PM,Larceny,Brooklyn Commons,A student reported a theft between 1 Metrotech and 6 Metrotech.,Open
2022-2752,12/20/22 07:06 PM,12/20/22 06:42 PM,Larceny,Weinstein Hall,A contractor reported a theft of food.,Open
2022-2751,12/20/22 07:10 PM,12/20/22 09:00 AM,Aggravated Assault / Burglary / Fondling,3 Washington Square Village,"An NYU affiliate reported an aggravated assault, burglary and fondling incident.",Open
03656-2022,12/15/22 09:30 AM,12/15/22 09:30 AM,Possession of Forged Instrument,Founders Hall,A staff member reported a criminal possession of forged instruments.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2748,12/20/22 09:30 AM,08/30/22 - 12/17/22,Criminal Mischief,Rogers Hall,A faculty member reported a criminal mischief.,Open
03646-2022,12/19/22 03:47 PM,12/19/22 03:47 PM,Liquor Law Violation,Gramercy Green Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2747,12/19/22 01:30 PM,11/21/22 12:00 PM - 12/20/22 02:30 PM,Stalking,Dibner Library,A student reported a stalking.,Open
2022-2746,12/19/22 12:15 PM,12/19/22,Criminal Trespass,6 Washington Square North,A staff member reported a criminal trespass.,Open
03631-2022,12/17/22 11:35 PM,12/17/22 11:35 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03630-2022,12/17/22 06:40 PM,12/17/22 06:40 PM,Drug Law Violation,Broome Street Hall,An RA reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2735,12/17/22 11:22 AM,12/16/22 10:48 PM - 12/17/22 11:20 AM,Larceny,Gramercy Green Hall,A student reported missing personal property.,Open
2022-2731,12/16/22 07:00 PM,12/15/22 07:15 PM,Harassment,3 Washington Square Village,A contractor reported a harassment.,Closed
2022-2729,12/16/22 02:28 PM,12/16/22 02:28 PM,Criminal Trespass,Bobst Library,A Campus Safety Officer reported an attempted criminal trespass.,Closed
2022-2724,12/16/22 01:50 AM,12/15/22 09:30 PM - 12/16/22 01:00 AM,Larceny,Weinstein Hall,A contractor reported missing personal property.,Open
2022-2719,12/15/22 02:45 PM,12/10/22 10:30 AM - 12/10/22 11:00 AM,Larceny,Starbucks @ the Square,A Starbucks employee reported missing personal property.,Open
2022-2717,12/15/22 11:30 AM,12/14/22 07:30 PM,Burglary,1 Washington Square Village,A non-NYU affiliate reported missing personal property.,Open
2022-2713,12/15/22 09:00 AM,12/03/22 01:30 AM - 12/03/22 04:30 AM,Burglary (reclassified from Larceny),Third North Hall,A student reported missing personal property. Incident reclassified on 12.19.22 after a preliminary investigation.,Open
2022-2711,12/14/22 10:14 PM,12/13/22 07:00 PM - 12/14/22 09:30 PM,Burglary,1 Washington Square Village,A student reported a burglary.,Open
2022-2706,12/13/22 08:20 PM,12/13/22 08:20 PM,Harassment,Lafayette Hall - exterior,A student reported a harassment.,Open
2022-2700,12/13/22 08:45 AM,12/13/22 08:45 PM,Criminal Trespass & Public Lewedness,380 Second Avenue - School of Physical Therapy,A staff member reported a criminal trespass and public lewdness.,Open
03600-2022,12/13/22 04:15 PM,12/12/22 09:00 PM,Harassment,Founders Hall,A student reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2688,12/10/22 02:17 PM,12/10/22 02:17 PM,Criminal Trespass,44 West 4th Street,A Campus Safety Officer reported a trespass.,Open
2022-2687,12/12/22 11:25 AM,11/22/22 - 11/28/22,Larceny,Third North Hall,A staff member reported a missing package.,Open
2022-2684,12/11/22 07:57 PM,12/11/22 07:57 PM,Harassment,Coral Towers - exterior,A student reported a harassment.,Open
2022-2678,12/11/22 12:38 AM,12/10/22 06:48 PM - 12/11/22 12:10 AM,Robbery & Motor Vehicle Theft,Schwartz Plaza,A student reported the robbery of a motorized scooter.,Open
2022-2677,12/10/22 07:47 PM,12/10/22 06:20 PM - 12/10/22 06:50 PM,Larceny,Weinstein Market,A student reported missing personal property.,Open
2022-2673,12/09/22 09:47 PM,12/06/22 12:00 AM - 12/09/22 12:00 AM,Stalking,Washington Square Park,A student reported a stalking.,Open
2022-2669,12/09/22 02:16 PM,12/09/22 07:00 AM - 12/09/22 02:00 PM,Larceny,Weinstein Hall,A staff member reported missing equipment.,Open
2022-2668,12/09/22 12:09 PM,12/09/22 12:00 AM,Criminal Mischief,Seventh Street Hall,A staff member reported graffiti.,Open
2022-2667,12/09/22 01:06 PM,12/09/22 12:45 PM,Harassment,East 4th Street between 383 Lafayette and 25 West 4th,A student reported a harassment on East 4th Street between 383 Lafayette and 25 West 4th.,Open
2022-2666,12/09/22 10:25 AM,12/09/22 10:25 AM,Disorderly Conduct & Harassment,708 Broadway,A Campus Safety Officer reported a disorderly conduct and harassment incident.,Open
2022-2664,12/08/22 04:22 PM,04/02/22 12:00 AM,Harassment,Alumni Hall,A student reported a harassment.,Open
2022-2661,12/08/22 03:40 PM,12/03/22 09:50 AM,Larceny,Education Building,A student reported missing equipment.,Open
2022-2654,12/07/22 06:05 PM,12/07/22 04:45 PM - 12/07/22 06:00 PM,Found Property (reclassified from Larceny),Gramercy Green,"A student reported missing personal property. On 12/8, all clothes were reported as found.",Closed
2022-2646,12/06/22 03:46 PM,12/06/22 03:46 PM,Criminal Trespass / Criminal Mischief,Weinstein Hall,A Campus Safety Officer reported an attempted trespass and a criminal mischief.,Closed
2022-2636,12/05/22 07:07 PM,12/02/22 10:32 AM,Larceny,Othmer Hall,A student reported a missing package.,Open
2022-2633,12/05/22 05:38 PM,12/05/22 07:30 AM - 12/05/22 07:45 AM,Larceny,Brittany Hall,A student reported missing personal property.,Open
2022-2631,12/05/22 03:26 PM,12/05/22 03:00 PM,Public Lewdness,16 Washington Place - exterior,A Campus Safety Officer reported a public lewdness.,Open
2022-2630,12/05/22 03:39 PM,12/01/22 02:05 PM - 12/01/22 11:00 PM,Criminal Mischief,Bobst Library,A Campus Safety Officer reported a criminal mischief.,Open
2022-2628,12/05/22 01:00 PM,11/30/22 03:00 PM - 11/30/22 03:15 AM,Larceny,Bobst Library,A student reported missing personal property.,Closed
2022-2627,12/05/22 12:35 PM,12/02/22 03:30 PM - 12/05/22 11:30 AM,Larceny,Warren Weaver Hall,A student reported missing personal property.,Open
2022-2612,12/03/22 06:54 PM,12/03/22 04:30 PM - 12/03/22 05:10 PM,Larceny,Shimkin Hall,A student reported missing personal property.,Open
03473-2022,12/02/22 11:50 PM,12/02/22 11:50 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03472-2022,12/02/22 11:40 PM,12/02/22 11:40 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03471-2022,12/02/22 10:35 PM,12/02/22 10:35 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03468-2022,12/02/22 09:17 PM,12/01/22,Dating Violence / Aggravated Assault,Gramercy Green Hall,Students reported an incident of aggravated assault and dating violence.,Closed
03464-2022,12/02/22 12:39 PM,11/27/22 - 11/28/22,Harassment,Lafayette Hall,A student reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2589,12/01/22 09:45 PM,12/01/22 07:30 PM - 12/01/22 08:30 PM,Larceny,Lipton Hall,A student reported missing personal property.,Open
2022-2587,12/01/22 07:50 PM,12/01/22 11:00 AM - 12/01/22 07:50 PM,Motor Vehicle Theft,Vanderbilt Hall,A student reported a motorized scooter theft.,Open
2022-2586,12/01/22 06:29 PM,12/01/22 10:50 AM - 12/01/22 06:15 PM,Motor Vehicle Theft,Schwartz Plaza,A student reported a motorized scooter theft.,Open
03493-2022,12/01/22 06:11 PM,12/01/22 04:30 PM,Larcey,Kimmel Center,A student reported a theft.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2583,12/01/22 04:00 PM,11/23/22 - 12/01/22,Larceny,288 Mercer Street,A faculty member reported missing property.,Open
2022-2572,11/30/22 01:17 PM,11/30/22 09:24 AM,Harassment,Fifth Avenue - 9th Street to Washington Square North,A student reported a harassment.,Closed
2022-2568,11/30/22 10:30 AM,11/30/22 10:30 AM,Public Lewdness,Lafayette Hall - exterior,A Campus Safety Officer reported public lewdness.,Open
2022-2567,11/29/22 03:45 PM,11/29/22 10:55 AM - 11/29/22 12:30 PM,Larceny,Othmer Hall - exterior,A student reported a theft from a bike.,Closed
2022-2559,11/29/22 12:45 PM,11/29/22 02:30 AM - 11/29/22 12:45 PM,Larceny,Palladium Hall,A student reported missing personal property.,Open
2022-2558,11/29/22 11:15 AM,11/21/22 07:04 AM - 11/29/22 11:00 AM,Larceny,Bobst Library,A staff member reported missing equipment.,Open
03410-2022,11/15/22 09:00 AM,12/07/21 - 11/15/22,Stalking,Tisch Hall,A student reported a stalking.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2555,11/29/22 07:29 AM,11/29/22 07:29 AM,Falsely Reporting an Incident,383 Lafayette,A staff member reported a false threat.,Open
2022-2552,11/28/22 08:05 PM,11/28/22 07:50 PM,Criminal Mischief / Harassment,Carlyle Court Hall,A student reported a harassment and criminal mischief.,Open
2022-2550,11/28/22 07:15 PM,11/28/22 04:22 PM - 06:22 PM,Harassment,19 West 4th Street,A faculty member reported a harassment.,Closed
2022-2540,11/27/22 01:05 PM,11/27/22 01:05 PM,Criminal Trespass,Bobst Library,A Campus Safety Officer reported an attempted trespass.,Open
2022-2537,11/26/22 03:58 PM,11/26/22 02:56 PM,Larceny,Washington Square Park,A student reported a theft.,Open
2022-2536,11/26/22 10:30 AM,11/26/22,Criminal Mischief,Duke House - exterior,A passerby reported a criminal mischief.,Open
2022-2528,11/23/22 03:25 PM,11/23/22 12:33 PM,Harassment,West 4th and Washington Square West,A faculty member reported a harassment.,Closed
2022-2525,11/22/22 02:28 PM,11/08/22 - 11/22/22,Larceny,721 Broadway,A student reported missing personal property.,Closed
2022-2524,11/22/22 03:22 PM,11/18/22 02:00 PM - 11/22/22 03:00 PM,Larceny,370 Jay Street,A staff member reported missing equipment.,Closed
2022-2518,11/22/22 06:20 AM,11/22/22 06:20 AM,Harassment,31 Washington Place,A contractor reported a harassment.,Open
2022-2517,11/21/22 06:51 PM,11/21/22 06:51 PM,Criminal Trespass,NYU Bookstore,A Campus Security Officer reported a criminal trespass.,Open
2022-2516,11/21/22 04:50 PM,11/21/22 04:44 PM,Harassment,Cantor Theater - exterior,A student and visitor reported a harassment.,Open
2022-2510,11/20/22 05:45 PM,11/20/22 05:45 PM,Criminal Trespass,Lafayette Hall,A Campus Safety Officer reported a trespass.,Open
2022-2509,11/20/22 02:00 PM,11/20/22 01:55 PM,Criminal Trespass,721 Broadway,A Campus Safety Officer reported an attempted criminal trespass.,Open
2022-2508,11/20/22 03:13 AM,11/19/22 06:30 PM - 11/20/22 03:13 AM,Found Property (reclassified from Larceny),University Hall,A student reported missing personal property. On 11/22 the student reported items were taken by mistake and returned.,Closed
2022-2505,11/19/22 09:36 PM,11/19/22 08:30 PM - 11/19/22 08:40 PM,Larceny,Washington Square Park,A student reported missing personal property.,Open
2022-2503,11/19/22 06:39 PM,11/19/22 06:39 PM,Criminal Trespass,44 West 4th Street,A Campus Safety Officer reported an attempted criminal trespass.,Open
2022-2502,11/19/22 04:04 PM,11/19/22 01:30 PM,Larceny,Kimmel Center,A visitor reported missing personal property.,Open
2022-2501,11/19/22 12:30 PM,11/19/22 12:30 PM,Larceny,238 Thompson Avenue,A student reported missing personal property.,Open
2022-2500,11/19/22 12:30 PM,11/18/22 05:00 PM - 11/19/22 12:30 PM,Larceny,Silver Building,A student reported missing personal property.,Open
2022-2491,11/18/22 01:33 PM,11/18/22 01:33 PM,Criminal Trespass,Bobst Library,A Campus Safety Officer reported an attempted criminal trespass.,Open
2022-2484,11/17/22 07:36 PM,11/17/22 07:36 PM,Criminal Trespass,Fairchild Hall,A Campus Safety Officer reported an attempted criminal trespass.,Open
03287-2022,11/16/22 10:00 PM,11/16/22 10:00 PM,Liquor Law Violation,Palladium Hall,An RA reported a underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03288-2022,11/16/22 10:15 PM,11/16/22 10:15 PM,Liquor Law Violation,Palladium Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03249-2022,11/16/22 05:20 PM,11/16/22 05:20 PM,Liquor Law Violation,Founders Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03248-2022,11/16/22 04:30 PM,11/16/22 04:30 PM,Drug Law Violation,Greenwich Hall,An staff member reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2477,11/16/22 04:06 PM,11/16/22 03:24 PM,Criminal Trespass,Third North Hall,Several students reported a criminal trespass.,Open
03246-2022,11/16/22 01:00 PM,11/16/22 01:00 PM,Liquor Law Violation,Second Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03238-2022,11/15/22 09:45 PM,11/15/22 09:45 PM,Liquor Law Violation,Gramercy Green Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03230-2022,11/15/22 02:15 PM,11/15/22 02:15 PM,Liquor Law Violation,Coral Tower Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03226-2022,11/15/22 01:17 PM,11/15/22 01:17 PM,Liquor Law Violation,Founders Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2469,11/15/22 01:15 PM,11/10/22 12:00 AM,Harassment,29th Street and First Ave,A research fellow reported a harassment.,Closed
2022-2467,11/15/22 01:00 PM,10/26/22 05:00 PM - 10/26/22 10:00 PM,Larceny,194 Mercer Street,A student reported missing personal property.,Open
2022-2463,11/15/22 11:31 AM,11/14/22 10:45 AM,Criminal Trespass,Hayden Hall,A contract guard reported a criminal trespass.,Open
2022-2460,11/15/22 11:19 AM,11/15/22 11:19 AM,Criminal Trespass,Vanderbilt Hall,A Campus Safety Officer reported an attempted criminal trespass.,Open
2022-2460,11/14/22 04:55 PM,11/14/22 04:55 PM,Criminal Trespass,6 Metrotech,A Campus Safety Officer reported a trespass.,Open
2022-2459,11/14/22 07:07 PM,11/10/22 09:00 PM - 11/10/22 09:30 PM,Larceny,Dibner Library,A student reported missing personal property.,Open
03262-2022,11/14/22 03:42 PM,11/14/22 03:42 PM,Liquor Law Violation,Founders Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03258-2022,11/13/22 02:00 PM,11/13/22 02:00 PM,Liquor Law Violation,Founders Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03245-2022,11/12/22 03:15 PM,11/12/22 03:15 PM,Liquor Law Violation,Broome Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2454,11/14/22 01:15 PM,09/15/22 - 11/14/22,Harassment,Bobst Library,A student reported a harassment.,Closed
03197-2022,11/12/22 06:00 PM,11/12/22 06:00 PM,Liquor Law Violation,Lafayette Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03203-2022,11/14/22 12:50 PM,10/27/22 - 11/14/22,Criminal Trespass,Lafayette Hall,A staff member reported a criminal trespass.,Closed/Referred to Office of Student Conduct & Community Standards
03194-2022,11/14/22 11:50 AM,11/14/22 11:50 AM,Drug Law Violation,Lafayette Hall,An RA reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
03192-2022,11/14/22 11:30 AM,11/14/22 11:30 AM,Drug Law Violation,Lafayette Hall,An RA reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
03193-2022,11/14/22 11:45 AM,11/14/22 11:45 AM,Drug Law Violation,Lafayette Hall,An RA reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
03190-2022,11/14/22 11:30 AM,11/14/22 11:30 AM,Drug Law Violation,Lafayette Hall,An RA reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
03188-2022,11/14/22 11:00 AM,11/14/22 11:00 AM,Drug Law Violation,Lafayette Hall,An RA reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
03187-2022,11/14/22 10:00 AM,11/14/22 10:00 AM,Drug Law Violation,Lafayette Hall,An RA reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2446,11/13/22 06:45 PM,11/11/22 02:00 PM - 11/13/22 06:45 PM,Larceny,Weinstein Hall - exterior,A student reported a bike theft.,Open
03175-2022,11/13/22 02:26 PM,11/13/22 02:26 PM,Drug Law Violation,Founders Hall,An RA reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
03166-2022,11/12/22 09:27 PM,11/12/22 05:00 PM - 11/12/22 07:00 PM,Criminal Trespass,Gramercy Green Hall,A student reported a criminal trespass.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2441,11/12/22 07:35 PM,11/12/22 07:20 PM,Harassment,2 Metrotech - exterior,A student reported a harassment.,Open
2022-2437,11/12/22 03:54 PM,11/12/22 03:54 PM,Criminal Trespass,Warren Weaver Hall,A Campus Safety Officer reported an attempted criminal trespass.,Closed
2022-2440,11/12/22 12:38 PM,11/12/22 11:50 AM,Harassment,Second Street Hall,A student reported a harassment.,Open
2022-2433,11/12/22 10:43 AM,11/12/22 10:30 AM,Larceny,Washington Square Park,A student reported a theft.,Open
INV2022017,11/11/22 08:31 PM,11/10/22 02:39 PM,Larceny,16 Washington Square Mews - exterior,A student reported a theft to NYPD.,Closed/Referred to NYPD
2022-2427,11/11/22 04:13 PM,11/11/22 03:50 PM - 11/11/22 03:55 PM,Larceny,Lipton Hall,A student reported missing personal property.,Open
2022-2426,11/11/22 02:08 PM,11/11/22 12:00 AM,Criminal Mischief,15 Washington Place,A staff member reported a criminal mischief.,Open
03177-2022,11/10/22 10:30 PM,11/10/22 04:50 PM,Fondling,Brittany Hall,A student reported a fondling.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2424,11/10/22 04:36 PM,11/10/22 10:45 AM - 11/10/22 01:00 PM,Larceny,721 Broadway,A student reported missing personal property.,Open
03117-2022,11/09/22 09:40 PM,11/09/22 09:40 PM,Liquor Law Violation,Brittany Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03122-2022,11/09/22 09:15 PM,11/09/22 09:15 PM,Liquor Law Violation,Brittany Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03109-2022,11/09/22 04:30 PM,11/09/22 04:30 PM,Liquor Law Violation,Alumni Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2412,11/09/22 10:24 AM,11/01/22 - 11/09/22,Stalking / Harassment,Greenwich Hall,A student reported a stalking and harassment.,Open
03094-2022,11/08/22 05:30 PM,11/08/22 05:30 PM,Liquor Law Violation,Broome Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03097-2022,11/08/22 08:30 PM,11/08/22 08:30 PM,Liquor Law Violation,Clark Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2406,11/08/22 03:15 PM,10/20/22 12:15 PM - 10/21/22 11:00 AM,Larceny,Silver Center,A student reported missing personal property.,Open
2022-2405,11/08/22 03:45 PM,10/27/22 - 11/07/22,Larceny,Meyer Hall,A staff member reported missing equipment.,Open
2022-2397,11/08/22 09:55 AM,11/08/22 09:50 AM,Criminal Trespass,Weinstein Hall - Downstein,A staff member reported a criminal trespass.,Open
2022-2396,11/08/22 04:05 AM,11/08/22 04:05 AM,Motor Vehicle Theft,Tisch Bike Rack,Two Campus Safety Officers reported an attempted scooter theft.,Open
2022-2394,11/07/22 07:54 PM,11/07/22 06:30 PM,Harassment / Larceny,Washington Square Park,A student reported a harassment and larceny.,Open
2022-2399,11/08/22 10:15 AM,10/31/22 11:00 AM,Larceny,Furman Hall,A staff member reported a missing package.,Open
03075-2022,11/07/22 04:00 PM,11/07/22 04:00 PM,Liquor Law Violation,Broome Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2389,11/07/22 01:15 PM,11/01/22 04:00 PM,Larceny,Kimmel Center,A student reported missing personal property.,Open
2022-2383,11/07/22 05:10 AM,11/07/22 04:40 AM,Criminal Trespass,Silver Center,A CBS staff member reported a criminal trespass.,Open
2022-2391,11/07/22 12:00 AM,10/07/22 - 11/07/22,Harassment,6 Metrotech,A staff member reported a harassment.,Open
2022-2380,11/06/22 09:55 AM,11/06/22 09:52 AM,Larceny / Harassment / Weapons Law Violation,Dunking Donuts @ University Hall,"Two staff members reported a larceny, harassment and weapons law violations.",Open
03057-2022,11/05/22 11:57 PM,11/05/22 11:57 PM,Liquor Law Violation,Palladium Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03049-2022,11/04/22 11:00 PM,11/04/22 11:00 PM,Liquor Law Violation,University Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2022-2374,11/04/22 10:25 PM,11/04/22,Harassment,Washington Square Park,A student reported a harassment.,Open
2022-2371,11/04/22 07:53 PM,11/04/22 06:15 PM - 11/04/22 07:20 PM,Larceny,Alumni Hall,A student reported missing personal property.,Open
2022-2364,11/04/22 03:00 AM,11/04/22,Larceny,Waverly Place and Greene Street,A student reported a theft.,Open
2022-2366,11/04/22 01:53 PM,11/02/22 02:00 AM - 11/04/22 01:00 PM,Found Property (reclassified from Larceny),Weinstein Hall,"A student reported missing personal property. On 11.10, the student reported the property found.",Closed
03038-2022,11/04/22 02:02 AM,11/04/22 12:55 AM,Criminal Trespass,Lipton Hall,A Campus Security Officer reported a criminal trespass.,Open
2022-2361,11/03/22 03:27 PM,11/03/22 09:00 AM - 11/03/22 03:15 PM,Larceny,Vanderbilt Hall - exterior,A student reported a bike theft outside of Vanderbilt Hall.,Open
2022-2358,11/03/22 01:25 PM,11/03/22 12:00 PM,Larceny,Broadway and Washington Place,A student reported missing personal property.,Open
2022-2353,11/02/22 02:50 PM,11/01/22 01:45 PM - 11/01/22 02:50 PM,Larceny,404 Lafayette Street,A student reported missing personal property.,Open
2022-2351,11/01/22 11:23 PM,11/01/22 10:33 PM,Burglary / Public Lewdness,Coral Tower Hall,A Campus Safety Officer reported a burglary and public lewdness incident.,Open
2022-2349,11/01/22 08:20 PM,11/01/22 06:49 PM,Burglary / Harassment,Alumni Hall,A staff member reported Burglary and Harassment.,Open
2022-2342,11/01/22 10:52 AM,11/01/22 10:52 AM,Public Lewdness,Washington Square Village - exterior,A CBS employee reported a public lewdness outside Washington Square Village.,Closed
